"LANGUAGE_NAME"	"한국어"
"MOD_DESC"	"After Dark(날씨 업데이트 전) 때 사용되었던 구름을 활성화하고 교체합니다 "
"VANILLA_LABEL"	" (바닐라)"
"TAB_NAME_SELECT"	"선택"
"TAB_NAME_PROPERTIES"	"속성"
"TAB_NAME_SUPPORT"	"지원"
"ENABLE_AD_CLOUD"	"AD 구름 활성화"
"SELECT_CLOUD"	"구름 선택"
"TIP_REFRESH_BTN"	"새로고침"
"TIP_OPENLOCALFOLDER_BTN"	"로컬 폴더 열기"
"TIP_DMFWORKSHOP_BTN"	"Steam 창작마당에서 더 많은 구름 다운로드"
"APPLY_BTN"	"적용"
"TIP_VANILLA_PREVIEW"	"바닐라 구름은 맵 환경에 의존하므로 인게임에서만 볼 수 있습니다."
"CLOUD_SIZE_LABEL"	"크기"
"CONTROL_MODE"	"컨트롤 모드"
"GROUP_CONTROL"	"컨트롤"
"MODE_VANILLA"	"바닐라"
"MODE_CUSTOM"	"커스텀"
"TIP_VANILLA_MODE"	"바닐라 값을 불러옵니다. 바뀐 값은 저장되지 않습니다."
"TIP_CUSTOM_MODE"	"바뀐 값이 구성에 저장됩니다."
"RESET_TO_VANILLA_BTN"	"바닐라로 초기화"
"TIP_RESET_TO_VANILLA_BTN"	"현재 환경의 바닐라 값 불러오기"
"ALPHA_SATURATION"	"알파 채도"
"ATTENUATION"	"감쇠"
"STEP_SIZE"	"단차 크기"
"ROTATE_SPPED"	"회전 속도"
"SKY_COLOR_MULTIPLIER"	"하늘 색 승수"
"SUN_COLOR_MULTIPLIER"	"태양 색 승수"
"TIP_DISABLED_CONTROL_PANEL"	"바닐라 모드에서 설정 컨트롤은 인게임에서 사용 가능합니다"
"STEAM_WORKSHOP_PAGE_BTN"	"Steam 창작마당 페이지"
"GITHUB_REPOSITORY_BTN"	"Github 저장소"
"SELECT_LANGUAGE"	"언어 선택"
"USE_GAME_LANGUAGE"	"게임 언어 사용"
"GROUP_LOCALIZATION"	"현지화"
"CROWDIN_LINK_DESC"	"번역에 관심이 있으신가요? 모드의 Crowdin 프로젝트를 방문하세요."
