"LANGUAGE_NAME"	"简体中文"
"MOD_DESC"	"替换并启用在After Dark中使用的云(在天气更新前) "
"VANILLA_LABEL"	" (原版)"
"TAB_NAME_SELECT"	"选择"
"TAB_NAME_PROPERTIES"	"属性"
"TAB_NAME_SUPPORT"	"帮助"
"ENABLE_AD_CLOUD"	"启用"
"SELECT_CLOUD"	"选择云的样式"
"TIP_REFRESH_BTN"	"刷新"
"TIP_OPENLOCALFOLDER_BTN"	"打开本地文件夹"
"TIP_DMFWORKSHOP_BTN"	"从 Steam 创意工坊下载更多云的样式"
"APPLY_BTN"	"应用"
"TIP_VANILLA_PREVIEW"	"原版云依赖于地图环境，只能在游戏中看到。"
"CLOUD_SIZE_LABEL"	"大小"
"CONTROL_MODE"	"控制模式"
"GROUP_CONTROL"	"控制"
"MODE_VANILLA"	"原版"
"MODE_CUSTOM"	"自定义"
"TIP_VANILLA_MODE"	"加载原版的参数。此项不会保存更改的数值。"
"TIP_CUSTOM_MODE"	"更改的数值将会被保存为配置。"
"RESET_TO_VANILLA_BTN"	"重置为原版"
"TIP_RESET_TO_VANILLA_BTN"	"按照当前环境加载原版值"
"ALPHA_SATURATION"	"饱和度"
"ATTENUATION"	"衰减"
"STEP_SIZE"	"调整步长"
"ROTATE_SPPED"	"旋转速度"
"SKY_COLOR_MULTIPLIER"	"天空颜色加成"
"SUN_COLOR_MULTIPLIER"	"阳光颜色加成"
"TIP_DISABLED_CONTROL_PANEL"	"在原版模式下，设置游戏中可用的控制参数"
"STEAM_WORKSHOP_PAGE_BTN"	"Steam 工坊页面"
"GITHUB_REPOSITORY_BTN"	"Github库"
"SELECT_LANGUAGE"	"选择语言"
"USE_GAME_LANGUAGE"	"使用游戏语言"
"GROUP_LOCALIZATION"	"本土化"
"CROWDIN_LINK_DESC"	"对翻译感兴趣吗？访问模组的 Crowdin 项目。"
"GROUP_INGAMEUI"	"游戏界面"
"SHOW_MOD_BUTTON"	"显示模组按钮"
"MOD_BUTTON_POSITION"	"模组按钮的位置"
"PANEL_POSITION"	"面板位置"
"RESET_BTN"	"重置"
"NOT_SET"	"未设置"
"TIP_DISABLED_APPLYBTN"	"请在应用之前输入有效的值"
"DISCORD_BTN"	"Discord 服务器"
