"Key"	"String"	"Context"
"MOD_DESC"	"替换并启用在 After Dark Dlc中使用的云(在天气更新前) 。Version {Version}"	""
"TAB_NAME_SELECT"	"选择"	""
"TAB_NAME_PROPERTIES"	"属性"	""
"TAB_NAME_SUPPORT"	"帮助"	""
"ENABLE_AD_CLOUD"	"启用动态云"	""
"SELECT_CLOUD"	"选择云的样式"	""
"TIP_REFRESH_BTN"	"刷新"	""
"TIP_OPENLOCALFOLDER_BTN"	"打开本地文件夹"	""
"TIP_DMFWORKSHOP_BTN"	"从 Steam 创意工坊下载更多云的样式"	""
"TIP_VANILLA_PREVIEW"	"原版云依赖于地图环境，因此你只能在游戏中预览它。"	""
"CLOUD_SIZE_LABEL"	"大小"	""
"CONTROL_MODE"	"控制模式"	""
"GROUP_CONTROL"	"控制"	""
"TIP_VANILLA_MODE"	"加载原版的参数。此选项不会保存更改的数值。"	""
"TIP_CUSTOM_MODE"	"更改的数值将会被保存为配置。"	""
"RESET_TO_VANILLA_BTN"	"重置为原版"	""
"TIP_RESET_TO_VANILLA_BTN"	"按照当前环境加载原版值"	""
"ALPHA_SATURATION"	"透明饱和度"	""
"ATTENUATION"	"衰减"	""
"STEP_SIZE"	"调整步长"	""
"ROTATE_SPPED"	"旋转速度"	""
"SKY_COLOR_MULTIPLIER"	"天空颜色加成"	""
"SUN_COLOR_MULTIPLIER"	"阳光颜色加成"	""
"TIP_DISABLED_CONTROL_PANEL"	"在原版模式下，设置控制仅在游戏中可用"	""
"GROUP_INGAMEUI"	"游戏界面"	""
"SHOW_MOD_BUTTON"	"显示模组按钮图标"	""
"MOD_BUTTON_POSITION"	"模组按钮的位置"	""
"PANEL_POSITION"	"面板位置"	""
"TIP_DISABLED_APPLYBTN"	"请在应用之前输入有效的值"	""
